id,nombre
HCG,CASA GANGOTENA
HMA,MERCURE ALAMEDA
HHC,HILTON COLON
CRQ,NH COLLECTION ROYAL QUITO
SWH,SWISSOTEL
EBQ,EUROBUILDING QUITO
RPB,RINCON DE PUEMBO
JWM,JW MARRIOTT
EMB,EMBASSY
WGQ,WYNDHAM GARDEN QUITO
HRI,REINA ISABEL
HRA,RIO AMAZONAS
SJP,SAN JOSE DE PUEMBO
HIQ,IBIS QUITO
PIR,PARK INN BY RADISSON
HIE,HOLIDAY INN EXPRESS
WQA,WYNDHAM QUITO AIRPORT
HSH,FOUR POINTS SHERATON
HDC,DANN CARLTON
PAN,PATIO ANDALUZ
PLG,PLAZA GRANDE
ILL,ILLA EXPERIENCE
CRO,LA CASONA DE LA RONDA
MCU,MAMA CUCHARA
GOQ,GO QUITO
QUI,HOTEL QUITO
HIA,HOLIDAY INN QUITO AEROPUERTO
LQW,LA QUINTA BY WYNDHAM QUITO
PIR,BA QUITO HOTEL BW
PIR,CENTRAL INN QUITO HOTEL
ZEN,ZEN
CAR,CARLOTA
LPC,LA PALMA POLO CLUB
LPQ,LE PARC QUITO
CED,CASA EL EDEN
C14,CASONA 1914
